HOST_TX 24.102 / 24.077 mm; skew 0.025; vias [2, 2]
HOST_RX 19.295 / 19.320 mm; skew 0.025; vias [2, 2]
SSD1_TX 70.738 / 70.713 mm; skew 0.025; vias [3, 3]
SSD1_RX 58.640 / 58.665 mm; skew 0.025; vias [5, 5]
SSD2_TX 52.452 / 52.427 mm; skew 0.025; vias [5, 5]
SSD2_RX 60.640 / 60.665 mm; skew 0.025; vias [5, 5]
HOST_CLK 28.445 / 28.470 mm; skew 0.025; vias [2, 2]
SW_REFCLK 37.551 / 37.576 mm; skew 0.025; vias [4, 4]
SSD1_REFCLK 98.341 / 98.316 mm; skew 0.025; vias [5, 5]
SSD2_REFCLK 58.878 / 58.853 mm; skew 0.025; vias [5, 5]
ETH0 104.335 / 104.310 mm; skew 0.025; vias [1, 1]
ETH1 132.549 / 132.524 mm; skew 0.025; vias [1, 1]
ETH2 145.699 / 145.777 mm; skew 0.078; vias [1, 1]
ETH3 106.988 / 106.963 mm; skew 0.025; vias [3, 3]
UART_USB_A 8.498 / 8.476 mm; skew 0.022; vias [0, 0]
UART_USB_B 9.498 / 9.476 mm; skew 0.022; vias [2, 2]
