Pair/path,P trace length mm,N trace length mm,Skew mm,Target mm,P vias,N vias,P barrel mm,N barrel mm,Pass
HOST_TX,24.101641,24.07664,0.025,0.1,2,2,3.0068,3.0068,True
HOST_RX,19.294785,19.319785,0.025,0.1,2,2,3.0068,3.0068,True
SSD1_TX,70.738092,70.713092,0.025,0.1,3,3,4.5102,4.5102,True
SSD1_RX,58.639961,58.664961,0.025,0.1,5,5,7.517,7.517,True
SSD2_TX,52.452262,52.427262,0.025,0.1,5,5,7.517,7.517,True
SSD2_RX,60.640151,60.665152,0.025001,0.1,5,5,7.517,7.517,True
HOST_CLK,28.445446,28.470445,0.024999,0.1,2,2,3.0068,3.0068,True
SW_REFCLK,37.550914,37.575921,0.025007,0.1,4,4,6.0136,6.0136,True
SSD1_REFCLK,98.341198,98.316198,0.024999,0.1,5,5,7.517,7.517,True
SSD2_REFCLK,58.877905,58.852905,0.025,0.1,5,5,7.517,7.517,True
ETH0,104.334782,104.309782,0.025,0.15,1,1,3.0068,3.0068,True
ETH1,132.548873,132.523872,0.025001,0.15,1,1,3.0068,3.0068,True
ETH2,145.699125,145.77746,0.078335,0.15,1,1,3.0068,3.0068,True
ETH3,106.988488,106.96349,0.024998,0.15,3,3,6.0136,6.0136,True
UART_USB_A,8.498313,8.475866,0.022447,0.1,0,0,0,0,True
UART_USB_B,9.498313,9.475866,0.022447,0.1,2,2,3.0068,3.0068,True
